country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB","03-06-2026 20:00:00",17.518400,78.278777,NO2,6,37,16
India,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB","03-06-2026 20:00:00",17.5316895,78.218939,OZONE,3,56,47
India,Telangana,Hyderabad,"IITH Kandi, Hyderabad - TSPCB","03-06-2026 20:00:00",17.585705,78.126199,PM2.5,40,107,64
India,Rajasthan,Sirohi,"Vedhaynath Colony, Sirohi - RSPCB","03-06-2026 20:00:00",24.885261,72.857549,SO2,2,4,2
India,Rajasthan,"Sri Ganganagar","Old City, Sri Ganganagar - RSPCB","03-06-2026 20:00:00",29.931624,73.864511,PM2.5,22,80,40
India,Rajasthan,"Sri Ganganagar","Old City, Sri Ganganagar - RSPCB","03-06-2026 20:00:00",29.931624,73.864511,OZONE,6,102,89
India,Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB","03-06-2026 20:00:00",26.159933,75.780517,PM2.5,85,308,169
India,Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB","03-06-2026 20:00:00",26.159933,75.780517,PM10,98,237,146
India,Sikkim,Gangtok,"Zero Point GICI, Gangtok - SSPCB","03-06-2026 20:00:00",27.338530,88.614099,NH3,1,1,1
India,Sikkim,Gangtok,"Zero Point GICI, Gangtok - SSPCB","03-06-2026 20:00:00",27.338530,88.614099,SO2,1,1,1
India,Sikkim,Gangtok,"Zero Point GICI, Gangtok - SSPCB","03-06-2026 20:00:00",27.338530,88.614099,CO,4,12,8
India,TamilNadu,Chennai,"Kodungaiyur, Chennai - TNPCB","03-06-2026 20:00:00",13.1278,80.2642,NH3,3,5,4
India,TamilNadu,Chennai,"Manali Village, Chennai - TNPCB","03-06-2026 20:00:00",13.1662,80.2584,PM2.5,NA,NA,NA
India,TamilNadu,Chennai,"Manali, Chennai - CPCB","03-06-2026 20:00:00",13.164544,80.26285,PM2.5,22,50,33
India,TamilNadu,Chennai,"Manali, Chennai - CPCB","03-06-2026 20:00:00",13.164544,80.26285,NH3,5,7,6
India,TamilNadu,Chennai,"Perungudi, Chennai - TNPCB","03-06-2026 20:00:00",12.9533,80.2357,NO2,4,8,6
India,TamilNadu,Chennai,"Perungudi, Chennai - TNPCB","03-06-2026 20:00:00",12.9533,80.2357,SO2,2,8,5
India,TamilNadu,Chennai,"Royapuram, Chennai - TNPCB","03-06-2026 20:00:00",13.1036,80.2909,OZONE,29,35,32
India,Uttar_Pradesh,Agra,"Sanjay Palace, Agra - UPPCB","03-06-2026 20:00:00",27.19865833,78.00598056,NO2,8,12,10
India,Uttar_Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB","03-06-2026 20:00:00",27.19412,77.96237,NH3,7,12,10
India,Uttar_Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB","03-06-2026 20:00:00",27.19412,77.96237,SO2,12,14,13
India,Uttar_Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB","03-06-2026 20:00:00",27.19412,77.96237,CO,10,44,12
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB","03-06-2026 20:00:00",27.169338,78.03582,PM2.5,61,182,84
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB","03-06-2026 20:00:00",27.169338,78.03582,PM10,70,120,90
India,Uttar_Pradesh,Agra,"Shastripuram, Agra - UPPCB","03-06-2026 20:00:00",27.19862,77.92066,SO2,5,6,6
India,Uttar_Pradesh,Bareilly,"Rajendra Nagar, Bareilly - UPPCB","03-06-2026 20:00:00",28.38910936,79.42963708,PM2.5,17,40,29
India,Uttar_Pradesh,Bareilly,"Rajendra Nagar, Bareilly - UPPCB","03-06-2026 20:00:00",28.38910936,79.42963708,CO,21,46,40
India,Uttar_Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB","03-06-2026 20:00:00",28.406963,77.849831,PM2.5,52,96,68
